TEAM,SEED,KADJ O,KADJ D,KADJ EM,BARTHAG,WIN%,EXP,TALENT,ELITE SOS,KADJ T,BADJ T,TOV%,TOV%D,OREB%,DREB%,3PTR,3PT%
Akron,12,118.82,106.022,12.7986,0.773,84.375,2.447,12.8,11.162,70.2733,70.321,15.5,18.4,33.5,70.1,45.1,38.5
Alabama,4,129.004,103.284,25.7196,0.934,71.875,1.526,73.555,40.729,73.087,73.059,13.0,12.6,31.8,67.2,53.7,35.8
Arizona,1,127.676,90.0201,37.6556,0.978,94.11764706,1.406,73.506,38.751,69.7911,70.027,15.1,16.7,38.1,73.1,26.8,36.0
Arkansas,4,127.658,101.605,26.0527,0.934,76.47058824,1.457,80.525,38.371,70.9979,70.974,12.3,15.7,32.2,68.8,33.4,38.9
BYU,6,125.46,102.214,23.2459,0.887,67.64705882,1.463,48.949,38.234,69.9244,69.779,15.3,16.5,34.6,70.7,39.8,34.9
Cal Baptist,13,107.926,101.933,5.99314,0.689,75.75757576,2.169,1.476,12.593,65.8019,65.931,18.1,17.1,37.8,72.8,32.1,33.7
Clemson,8,116.522,97.2852,19.2364,0.892,70.58823529,2.344,43.89,31.538,64.21,64.273,14.2,17.5,28.1,74.3,42.9,34.1
Connecticut,2,121.986,94.1163,27.8694,0.952,85.29411765,1.997,84.266,33.294,64.4462,64.583,16.8,18.0,35.7,71.3,40.3,35.2
Duke,1,127.956,89.0562,38.8998,0.981,94.11764706,0.856,91.161,38.433,65.3455,65.803,15.7,18.1,38.1,75.2,44.4,35.1
Florida,1,125.535,91.7424,33.7928,0.973,78.78787879,1.928,41.689,39.255,70.5421,70.398,16.5,15.4,43.2,75.2,37.1,30.8
Furman,15,107.451,109.43,-1.9789,0.444,61.29032258,1.607,11.546,7.376,65.8575,65.841,17.8,13.7,31.0,72.5,46.3,33.3
Georgia,8,124.681,104.202,20.4792,0.877,68.75,1.553,61.02,32.391,71.378,72.026,14.3,18.4,35.2,65.1,43.9,34.1
Gonzaga,3,121.99,93.8895,28.1006,0.944,90.90909091,2.11,36.781,24.986,68.5871,68.932,13.7,20.5,34.8,74.1,31.0,34.0
Hawaii,13,107.129,101.163,5.96572,0.636,73.33333333,2.599,9.248,10.053,69.6586,69.581,18.9,16.9,31.4,75.0,39.7,31.6
High Point,12,117.048,108.644,8.40428,0.699,87.09677419,2.541,13.909,5.665,69.8932,69.889,13.0,21.9,32.1,68.3,42.9,34.4
Hofstra,13,114.57,105.077,9.49239,0.704,68.75,1.895,0.2,11.966,64.6955,64.714,16.1,15.0,34.9,69.5,43.1,36.8
Houston,2,124.864,91.4372,33.4265,0.971,82.35294118,1.553,81.968,36.826,63.2742,63.325,13.0,21.0,35.9,69.1,40.8,34.9
Howard,16,103.142,106.331,-3.18939,0.424,65.51724138,1.89,0.2,8.612,68.9954,69.048,19.8,21.3,36.6,68.0,34.3,34.7
Idaho,15,108.842,107.309,1.53307,0.57,56.25,2.008,0.2,11.302,67.7163,67.424,15.0,15.2,28.9,75.8,46.8,34.5
Illinois,3,131.176,99.0756,32.1008,0.968,75.0,1.548,63.056,38.28,65.5241,65.718,13.2,11.6,38.7,73.0,50.7,34.7
Iowa,9,121.742,99.2974,22.4441,0.907,63.63636364,1.776,14.299,35.51,63.0052,63.027,15.2,21.0,30.1,72.0,41.6,35.7
Iowa St.,2,123.826,91.4031,32.423,0.966,79.41176471,1.944,50.469,35.368,66.5484,66.962,15.1,22.4,35.3,71.9,38.8,38.7
Kansas,4,118.33,93.8906,24.4399,0.928,69.6969697,1.629,57.848,41.65,67.6362,67.61,15.5,14.0,29.5,69.9,35.7,35.0
Kennesaw St.,14,110.636,110.064,0.572421,0.534,58.06451613,1.297,13.242,11.706,71.1569,71.267,16.7,16.1,35.5,68.7,42.9,33.7
Kentucky,7,120.516,99.0324,21.4832,0.89,61.76470588,1.581,85.092,40.797,68.34,68.319,15.0,15.8,33.8,69.9,39.2,34.1
Lehigh,16,102.717,113.086,-10.3689,0.252,50.0,1.368,0.826,9.479,66.8824,66.869,17.5,16.3,22.8,68.3,38.2,36.5
LIU Brooklyn,16,105.631,109.582,-3.95107,0.341,70.58823529,2.414,0.2,9.691,67.7741,67.829,19.0,18.9,34.3,67.4,29.0,36.1
Louisville,6,124.053,98.6289,25.4242,0.936,69.6969697,2.208,39.12,35.248,69.6486,69.712,16.4,16.7,32.9,73.1,52.8,35.7
McNeese St.,12,114.306,101.805,12.5017,0.764,83.87096774,1.919,48.482,14.16,66.2315,66.136,14.3,24.6,35.0,65.0,35.1,31.6
Miami FL,7,121.357,100.677,20.6799,0.884,75.75757576,1.67,80.783,29.331,67.5506,67.93,16.2,18.4,37.0,73.7,31.7,34.7
Miami OH,11,116.779,108.522,8.2572,0.718,96.55172414,1.693,11.186,8.266,69.947,69.942,14.5,17.5,25.3,71.9,44.6,37.5
