SEED T1,KADJ O T1,KADJ D T1,KADJ EM T1,BADJ O T1,BADJ D T1,BADJ EM T1,BARTHAG T1,WIN% T1,EXP T1,TALENT T1,ELITE SOS T1,SEED T2,KADJ O T2,KADJ D T2,KADJ EM T2,BADJ O T2,BADJ D T2,BADJ EM T2,BARTHAG T2,WIN% T2,EXP T2,TALENT T2,ELITE SOS T2,WINNER
1,128.505,93.4663,35.0385,129.049,93.653,35.396,0.976,84.84848,2.573,34.433,45.564,16,101.454,110.689,-9.235,100.521,109.612,-9.091,0.27,54.54545,2.346,4.049,11.608,0
8,118.177,95.5301,22.6465,118.342,94.659,23.683,0.929,79.41176,2.555,20.225,29.98,9,116.968,98.2653,18.7025,117.334,98.241,19.093,0.885,70.58824,1.954,59.745,31.577,1
5,116.787,94.9671,21.8201,115.121,94.416,20.705,0.907,73.52941,2.239,57.267,37.294,12,115.29,96.5133,18.7768,113.482,96.988,16.494,0.859,87.5,2.447,14.091,12.106,0
4,116.281,92.2075,24.0735,115.676,93.121,22.555,0.924,68.75,2.764,69.423,39.956,13,114.444,103.508,10.9363,113.907,103.716,10.191,0.746,75.0,1.876,9.807,11.606,0
6,117.897,95.8241,22.0726,117.393,96.948,20.445,0.9,66.66667,2.701,56.397,41.324,11,118.913,99.3766,19.5367,118.831,99.811,19.02,0.881,62.85714,1.623,87.298,35.154,0
3,119.483,92.4824,27.0002,118.876,92.347,26.529,0.948,72.72727,2.401,35.926,36.738,14,112.711,103.225,9.48582,110.718,104.041,6.677,0.672,71.875,2.583,0.2,11.694,0
7,117.695,96.1073,21.5878,116.667,96.533,20.134,0.898,69.69697,2.084,62.664,34.207,10,112.545,95.2167,17.3279,111.747,94.917,16.83,0.867,78.125,2.047,45.924,24.388,1
2,118.056,90.49,27.5664,116.833,91.836,24.997,0.941,81.81818,1.752,74.743,34.707,15,106.725,105.547,1.17756,105.753,105.34,0.413,0.511,65.625,2.502,33.52,9.31,0
1,127.938,92.1126,35.8258,127.699,94.006,33.693,0.971,88.23529,1.887,28.619,37.75,16,107.201,108.723,-1.52118,106.215,109.029,-2.814,0.425,67.74194,2.602,7.466,12.001,0
8,121.965,102.633,19.3318,121.595,102.01,19.585,0.883,69.69697,1.638,87.492,30.085,9,119.062,100.717,18.345,117.673,100.855,16.818,0.855,60.60606,2.256,48.517,39.435,0
